subject,activity,dataset,set,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
uci_subject_1,lying,UCI_HAR,train,0.28526329,-0.008888811,-0.10374518,-0.99549458,-0.97982784,-0.99541907,-0.99580191,-0.97867265,-0.99550068,-0.93775406
uci_subject_1,lying,UCI_HAR,train,0.28347732,-0.0075244582,-0.10928717,-0.99458009,-0.98676377,-0.99609334,-0.99523716,-0.98606488,-0.99612418,-0.93775406
uci_subject_1,lying,UCI_HAR,train,0.27302712,-0.010196757,-0.11115339,-0.9931253,-0.990001,-0.99540821,-0.99358885,-0.98988751,-0.99416488,-0.93651022
uci_subject_1,walking,UCI_HAR,train,0.28202157,-0.037696218,-0.1348973,-0.32828019,-0.13715339,-0.18908594,-0.40487495,-0.17679141,-0.19947378,-0.154731
uci_subject_1,walking,UCI_HAR,train,0.25584075,-0.064550029,-0.095186339,-0.22920689,0.016506077,-0.26031088,-0.27676408,0.0090664664,-0.28736686,-0.154731
uci_subject_1,walking,UCI_HAR,train,0.25486723,0.0038147234,-0.12365809,-0.27515786,0.013079871,-0.28437131,-0.34134109,-0.026013386,-0.32027203,-0.17555904
uci_subject_1,walking,UCI_HAR,train,0.34337048,-0.014446221,-0.16737697,-0.22992354,0.17391077,-0.21338751,-0.28288214,0.1446931,-0.2379875,-0.15277282
uci_subject_1,walking,UCI_HAR,train,0.27623973,-0.029638413,-0.14261631,-0.22657692,0.16428792,-0.12254496,-0.23952593,0.14028687,-0.14861689,-0.15277282
uci_subject_1,walking,UCI_HAR,train,0.25546822,0.021219063,-0.048949431,-0.22453699,0.022312942,-0.11319624,-0.25062407,-0.021988287,-0.099186333,-0.073476094
uci_subject_1,walking,UCI_HAR,train,0.32113983,0.0015817951,-0.043553705,-0.23395567,0.034774517,-0.16193047,-0.28295901,0.017454252,-0.14061933,-0.073476094
uci_subject_1,walking,UCI_HAR,train,0.2346659,-0.049547719,-0.11175723,-0.24708664,0.055164926,-0.20856333,-0.30468299,0.04270409,-0.20449345,-0.20929089
uci_subject_1,walking,UCI_HAR,train,0.31263404,-0.026367749,-0.13095121,-0.3530986,-0.01738215,-0.1278076,-0.39527374,-0.0543888,-0.095763059,-0.29039716
uci_subject_1,walking,UCI_HAR,train,0.2769154,-0.03548621,-0.080569176,-0.26294183,0.11127781,-0.21270027,-0.30989024,0.089606796,-0.23332598,-0.068582605
uci_subject_1,walking,UCI_HAR,train,0.20530739,-0.0085082782,-0.11964696,-0.2607049,0.027917204,-0.2265457,-0.31677571,-0.038486506,-0.25181391,-0.068582605
uci_subject_1,walking,UCI_HAR,train,0.30699599,-0.01378698,-0.18016197,-0.23902985,0.072865343,-0.24720444,-0.28254589,0.0080078037,-0.26167389,-0.091285176
uci_subject_1,walking,UCI_HAR,train,0.28151325,-0.040800898,-0.13467496,-0.20097415,0.13235411,-0.22023423,-0.2431469,0.1060205,-0.24125564,-0.091285176
uci_subject_1,walking,UCI_HAR,train,0.30388542,0.0027680377,-0.038613087,-0.16865626,0.19033573,-0.1404726,-0.20513366,0.10114414,-0.12057242,-0.00081842088
uci_subject_1,walking,UCI_HAR,train,0.3541929,-0.012560935,-0.058680943,-0.20842457,0.23479071,-0.15926287,-0.24560393,0.13586861,-0.1283428,-0.00081842088
uci_subject_1,walking,UCI_HAR,train,0.22229785,-0.018659683,-0.11718642,-0.22054434,0.16981657,-0.21230566,-0.27237038,0.12724058,-0.19641717,-0.074992302
uci_subject_1,walking,UCI_HAR,train,0.21448125,0.0099387454,-0.123073,-0.20551618,0.1060062,-0.21092443,-0.26988985,0.074272815,-0.19372571,-0.074992302
uci_subject_1,walking,UCI_HAR,train,0.32731657,-0.022255821,-0.1491439,-0.24864532,0.13322913,-0.17954697,-0.30697872,0.11399426,-0.15971189,-0.11495339
uci_subject_1,walking,UCI_HAR,train,0.3490591,-0.022003784,-0.15005217,-0.30312548,0.15260681,-0.17429778,-0.35661754,0.1065121,-0.14130914,-0.17806678
uci_subject_1,walking,UCI_HAR,train,0.26468173,-0.0085919266,-0.10297373,-0.36323752,0.036867249,-0.24415899,-0.42562455,-0.055040698,-0.24323,-0.27832842
uci_subject_1,walking,UCI_HAR,train,0.28431748,-0.027205815,-0.21230304,-0.18344442,0.14107588,-0.22568941,-0.24908019,0.11061427,-0.22100868,0.032522048
uci_subject_1,walking,UCI_HAR,train,0.22172674,-0.02437697,-0.075076407,-0.11171737,0.11113028,-0.22183256,-0.15888711,0.074157967,-0.2124279,0.032522048
uci_subject_1,walking,UCI_HAR,train,0.29097148,-0.027810418,-0.042982545,-0.1393703,0.038038012,-0.26684056,-0.17215078,0.0052011458,-0.25904885,0.022736869
uci_subject_1,walking,UCI_HAR,train,0.26108077,-0.015635621,-0.10258842,-0.17123888,0.20123607,-0.26158873,-0.21756005,0.1316434,-0.28732021,0.022736869
uci_subject_1,walking,UCI_HAR,train,0.25242505,0.0062773455,-0.12518006,-0.2372253,0.22348838,-0.22901343,-0.28678502,0.12579215,-0.25727591,-0.066363686
uci_subject_1,walking,UCI_HAR,train,0.35878664,-0.016954505,-0.15477656,-0.2514616,0.27005499,-0.18501917,-0.28502298,0.20324476,-0.2021393,-0.15851726
uci_subject_1,walking,UCI_HAR,train,0.256935,-0.010577401,-0.10544192,-0.23004356,0.18733455,-0.16425491,-0.27299243,0.1229319,-0.16482037,-0.11001058
uci_subject_1,walking,UCI_HAR,train,0.29855414,0.00079445569,-0.040695674,-0.19810732,-0.0046376926,-0.18503809,-0.24664501,-0.062917298,-0.13932836,-0.019153476
uci_subject_1,walking,UCI_HAR,train,0.30804575,-0.023300458,-0.07970154,-0.19869979,0.13432199,-0.17723723,-0.25326747,0.084887372,-0.16488492,-0.019153476
uci_subject_1,walking,UCI_HAR,train,0.20356167,-0.03050523,-0.13709513,-0.2469644,0.29855783,-0.20575302,-0.29952615,0.26509534,-0.24587337,-0.085914526
uci_subject_1,walking,UCI_HAR,train,0.28056095,-0.011424653,-0.15619795,-0.2739845,0.25843788,-0.22578754,-0.31344003,0.21505789,-0.2396598,-0.21304722
uci_subject_1,walking,UCI_HAR,train,0.33216933,-0.034585828,-0.15926922,-0.29396729,0.18968054,-0.22527463,-0.33507341,0.17176384,-0.2312922,-0.19884218
uci_subject_1,walking,UCI_HAR,train,0.28703017,-0.02723993,-0.11750002,-0.31223717,0.12700096,-0.2522831,-0.36468787,0.097290871,-0.25927738,-0.19884218
uci_subject_1,walking,UCI_HAR,train,0.30159413,-0.044653002,-0.081513949,-0.17845378,0.24283356,-0.14486824,-0.25050718,0.17758619,-0.14737544,0.14787012
uci_subject_1,walking,UCI_HAR,train,0.24608919,-0.016175423,-0.11188336,-0.22179285,0.067040367,-0.30151426,-0.27555723,0.037551292,-0.31420423,0.03235224
uci_subject_1,walking,UCI_HAR,train,0.29272439,-0.0021398385,-0.14034852,-0.25253682,0.041978126,-0.27523889,-0.29052284,-0.0018254843,-0.28240827,0.03235224
uci_subject_1,walking,UCI_HAR,train,0.33156003,-0.0074950152,-0.13173868,-0.24591692,0.10293816,-0.23307559,-0.28601205,0.065638348,-0.25447431,-0.0037115193
uci_subject_1,walking,UCI_HAR,train,0.20201055,-0.0090379452,-0.079095855,-0.2207697,0.12313624,-0.22163812,-0.27158768,0.072741887,-0.21042657,-0.11948537
uci_subject_1,walking,UCI_HAR,train,0.30363491,-0.014656769,-0.042613832,-0.21530926,0.12091731,-0.2186594,-0.25322797,0.067138965,-0.17817474,-0.11948537
uci_subject_1,walking,UCI_HAR,train,0.35919361,-0.018079718,-0.07234686,-0.26279787,0.057066065,-0.24801678,-0.30795628,0.027468701,-0.240457,-0.16085922
uci_subject_1,walking,UCI_HAR,train,0.22442754,-0.031464353,-0.12726298,-0.39294444,-0.020678437,-0.26338558,-0.45618607,-0.055806451,-0.29858962,-0.2524977
uci_subject_1,walking,UCI_HAR,train,0.23995826,-0.0097107196,-0.12197022,-0.37078412,-0.072025636,-0.30167375,-0.43862543,-0.14012228,-0.31192796,-0.19308909
uci_subject_1,walking,UCI_HAR,train,0.28972747,0.01534272,-0.11667518,-0.36879989,-0.083343414,-0.26334666,-0.42365001,-0.17875899,-0.27721328,-0.19308909
uci_subject_1,walking,UCI_HAR,train,0.30830537,-0.019882845,-0.16044667,-0.4390001,0.0033127826,-0.20853766,-0.48598138,-0.063575034,-0.22371527,-0.18094808
uci_subject_1,walking,UCI_HAR,train,0.32746543,-0.03566696,-0.18182373,-0.36722034,0.034414774,-0.19402335,-0.41838539,0.012209581,-0.19641642,-0.050130717
uci_subject_1,walking,UCI_HAR,train,0.23841102,-0.023196389,-0.11255181,-0.31993668,0.027333313,-0.18198057,-0.36922293,0.01250261,-0.19003623,-0.050130717
uci_subject_1,walking,UCI_HAR,train,0.1801943,-0.017796846,-0.039347036,-0.37654341,0.023526725,-0.24705158,-0.43394996,-0.0419132,-0.24282365,-0.22915947
uci_subject_1,climbing_down,UCI_HAR,train,0.35845532,0.017975385,-0.084159118,-0.17198789,-0.18833245,-0.39955531,-0.21840845,-0.24654069,-0.36353479,0.24422494
uci_subject_1,climbing_down,UCI_HAR,train,0.30171512,-0.0070493914,-0.093681451,-0.040142869,-0.14142127,-0.32583132,-0.079918141,-0.18283028,-0.2815618,0.19967601
uci_subject_1,climbing_down,UCI_HAR,train,0.28155172,-0.016110289,-0.14009252,-0.094665347,-0.007347987,-0.34749167,-0.15105299,-0.14269316,-0.31586643,0.19967601
uci_subject_1,climbing_down,UCI_HAR,train,0.27395574,-0.022899292,-0.12725614,-0.1333824,0.13226521,-0.3361737,-0.2115938,-0.051626454,-0.31821436,0.33635049
uci_subject_1,climbing_down,UCI_HAR,train,0.29995717,0.014082123,-0.082310404,0.069268419,0.057800324,-0.23505028,-0.04180553,-0.11104475,-0.20960922,0.53149063
uci_subject_1,climbing_down,UCI_HAR,train,0.26537379,-0.017156211,-0.13877347,0.12036221,0.083343662,-0.22198362,0.032087353,-0.048226393,-0.18674495,0.53149063
uci_subject_1,climbing_down,UCI_HAR,train,0.27763311,-0.03726758,-0.10002093,-0.021760423,-0.032132086,-0.19655791,-0.095171703,-0.16015328,-0.15090388,0.42881097
uci_subject_1,climbing_down,UCI_HAR,train,0.26688016,-0.0023073023,-0.063727153,-0.049966361,-0.24740345,-0.25858891,-0.10428915,-0.34102986,-0.24010234,0.42881097
uci_subject_1,climbing_down,UCI_HAR,train,0.21070047,-0.005968762,-0.1095915,-0.064215283,-0.20213904,-0.32766382,-0.10936014,-0.30224868,-0.32564342,0.15867834
uci_subject_1,climbing_down,UCI_HAR,train,0.28521305,-0.020202459,-0.011024206,0.12298877,0.08194572,0.049997153,0.050769097,0.012863203,-0.0146884,0.54451198
uci_subject_1,climbing_down,UCI_HAR,train,0.4699458,-0.033624109,-0.1412542,0.11546276,0.019113399,-0.03447136,0.096474415,-0.082700007,-0.048396212,0.54451198
uci_subject_1,climbing_down,UCI_HAR,train,0.23528441,-0.014570467,-0.20841776,0.099089605,0.3007347,-0.2064967,0.051918425,0.068505255,-0.18660619,0.39965938
uci_subject_1,climbing_down,UCI_HAR,train,0.1669136,-0.03373288,-0.13334869,0.052910086,0.26572452,-0.21271262,-0.034228712,0.088087162,-0.1653765,0.41211967
uci_subject_1,climbing_down,UCI_HAR,train,0.44562097,-0.011902709,-0.15116909,0.11820941,-0.051036543,-0.14692209,0.072404304,-0.11239477,-0.066237734,0.46033226
uci_subject_1,climbing_down,UCI_HAR,train,0.23179921,-0.0075220252,-0.055801013,0.063689044,-0.017154892,-0.23035782,0.0001983481,-0.073383474,-0.18277915,0.46033226
uci_subject_1,climbing_down,UCI_HAR,train,0.28134949,-0.0007098312,-0.0086999005,0.1466405,-0.15760804,-0.24012018,0.061130847,-0.18535036,-0.2308912,0.63640789
uci_subject_1,climbing_down,UCI_HAR,train,0.36248249,-0.0035526939,-0.18104462,0.24954917,-0.21185711,-0.16926229,0.18132372,-0.27056224,-0.14491092,0.63640789
uci_subject_1,climbing_down,UCI_HAR,train,0.43503687,-0.0065917495,-0.082909932,0.078451291,-0.098710248,-0.26404564,0.04630488,-0.13587276,-0.23660048,0.12485933
uci_subject_1,climbing_down,UCI_HAR,train,0.35119884,0.021866728,-0.1494262,0.076174685,-0.10048684,-0.29808742,0.044780942,-0.11849952,-0.26209208,0.34569746
uci_subject_1,climbing_down,UCI_HAR,train,0.13046118,-0.05499692,-0.13178649,-0.10749685,0.10655765,-0.22750121,-0.19303286,0.031338172,-0.23970389,0.34569746
uci_subject_1,climbing_down,UCI_HAR,train,0.31277629,-0.050409373,-0.043028643,0.026284824,0.16827786,-0.18619953,-0.074634555,0.090838808,-0.16199627,0.34323986
uci_subject_1,climbing_down,UCI_HAR,train,0.42595606,0.02456,-0.15095947,0.099239639,-0.038196632,-0.27249905,-0.0061015318,-0.083141371,-0.21916172,0.34323986
uci_subject_1,climbing_down,UCI_HAR,train,0.26749864,-0.018319479,-0.16901282,-0.041248287,-0.13421251,-0.31053548,-0.12550602,-0.15017083,-0.27627637,0.18435317
uci_subject_1,climbing_down,UCI_HAR,train,0.15439416,0.0016045166,-0.010548619,-0.023648539,-0.19748806,-0.29180071,-0.080848299,-0.19853609,-0.26108367,0.15481704
uci_subject_1,climbing_down,UCI_HAR,train,0.20535149,-0.0038073578,-0.032628831,0.019304723,-0.22962531,-0.30764605,-0.059149997,-0.26822101,-0.25673055,0.15972982
uci_subject_1,climbing_up,UCI_HAR,train,0.18360372,-0.076558729,-0.0469561,-0.36751584,-0.099160728,0.020546431,-0.41272907,-0.10732287,0.087381154,-0.2209385
uci_subject_1,climbing_up,UCI_HAR,train,0.27918273,-0.036965677,-0.13360426,-0.35903189,-0.12411225,-0.10286776,-0.3942299,-0.1204564,-0.027792432,-0.31913613
uci_subject_1,climbing_up,UCI_HAR,train,0.30116241,-0.0017592965,-0.10683037,-0.36266589,0.0012200422,-0.11153777,-0.40083722,-0.0015493738,-0.028194046,-0.26951781
uci_subject_1,climbing_up,UCI_HAR,train,0.29341097,-0.018714518,-0.066159078,-0.36815735,0.09566293,-0.019262368,-0.43057909,0.10843232,0.027044075,-0.16984818
